"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ACTG1"	10216	27941	4278	4913	27182	61049	12236	31988	3335	7475	29247	24219	19637	20938	5517	8078	30722	59603
"ACTG1P4"	0	17.58	2.39	17.65	8.12	14.66	8.08	54.62	10.04	10	9	30.96	8.07	20.88	2.29	33.52	3.42	10.11
"ACTG2"	2	2	27	90	5	1029	1	5	100	210	9	2240	62	9	50	41	42	307
"ACTL10"	1	4	0	0	10	21	6	3	0	4	23	7	0	5	1	7	30	15
"ACTL6A"	529	198	361	420	707	923	272	97	193	273	1029	555	499	293	372	331	725	869
"ACTL6B"	0	1356	1	1	0	1	0	1683	0	0	0	1	0	1595	1	1	0	1
"ACTL7A"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"ACTL7B"	0	0	0	0	0	1	2	1	0	1	0	1	1	0	0	0	0	0
"ACTL8"	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
"ACTL9"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ACTN1"	2077	2384	236	1438	980	6399	1586	5827	356	2608	2643	4702	4015	717	552	2466.82	1587	4287
"ACTN1-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTN2"	1	1581	57589	54956	11	188	5	2770	103797	16603	23	122	2	316	98331	27872	16	98
"ACTN3"	0	1	52302	1	0	6	1	7	18246	5	1	9	0	3	60756	2	0	1
"ACTN4"	5007	3405	666	1622	11526	15607	4214	4262	964	2517	11822	10859	6064	2674	1531	2979	13913	12193
"ACTR10"	913	2680	1537	1414	1580	1578	387	2988	1017	414	1822	890	849	3050	1757	728	1479	1566
"ACTR1A"	1185	6388	2987	2389	2055	3733	1092	8161	2803	1136	2924	2703	1214	5683	4704	1729	2352	3609
"ACTR1B"	1042	3024	1440	948	1256	1423	1231	4345	1288	607	1635	817	1230	2919	2026	867	1610	1197
"ACTR2"	3525	9022	1908	3779	5672	12877	2286	11001	1942	2639	4913	5887	3953	8361	2923	2997	5421	12376
"ACTR3"	3167	4778	1890	2847	4116	10451	1453	4629	1194	1730	5295	4169	2934	6650	2573	2501	5198	10830
"ACTR3B"	136.16	1089.35	109.81	64.91	173.77	114.58	155.53	1928.41	66.43	40	174.64	108.81	107	953.79	103.65	57.33	133.6	73.81
"ACTR3BP2"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"ACTR3BP5"	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"ACTR3C"	181.84	32.65	3.19	10.09	131.23	89.42	197.47	118.59	10.57	2	378.36	137.19	267	74.21	33.35	10.67	241.4	116.19
"ACTR5"	171	192	91	58	203	240	130	272	85	70	128	212	146	348	140	77	208	212
"ACTR6"	456	1475	594	530	868	748	356	1325	353	243	742	458	433	1948	763	329	799	868
"ACTR8"	626	1551	488	1183	1338	1065	436	1683	491	344	1770	789	478	2246	670	672	1450	988
"ACTRT1"	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
"ACTRT2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTRT3"	69	55	18	9	97	46	37	92	6	10	102	28	99	127	10	24	116	65
"ACVR1"	653	490	416	622	1173	1072	965	779	383	499	1062	833	864	822	801	627	1274	895
"ACVR1B"	1021	2279	442	342	3481	1333	1305	3631	400	278	4191	606	916	2207	617	275	3977	1141
"ACVR1C"	388	1379	103	113	60	28	236	1448	72	6	39	43	294	698	129	16	63	84
"ACVR2A"	769	1275	769	592	954	1061	539	1786	648	385	1190	882	1088	2399	952	499	1141	1001
"ACVR2B"	444	1451	1424	767	1207	846	713	1928	1577	407	1503	694	1035	3702	2009	646	1267	781
"ACVR2B-AS1"	7	16	201	11	36	16	17	27	125	5	29	10	20	46	142	8	46	14
"ACVRL1"	188	200	403	663	784	12788	70	291	346	1103	1158	13234	359	275	689	1051	1027	9989
"ACY1"	9669	174	304	206	29205.12	450	4805	154	380	65	1313.26	223	4965	155.16	370	106.83	13473.84	431
"ACY3"	375	75	3	0	2075	6	241	38	0	0	61	0	168	45	0	0	1709	1
"ACYP1"	7	214	133	49	75	64	4	247	45	19	60	71	15	235	101	26	79	62
"ACYP2"	251	926	1714	516	124	181	83	773	969	104	95	83	234	918	1796	183	154	190
"ADA"	27	71	75	103	17	126	33	77	23	78	25	104	55	60	116	106	42	116
"ADAD1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ADAD2"	0	43	0	2	5	2	0	47	0	0	1	3	2	0	0	1	10	4
"ADAL"	334	398	831	986	710	178	276	493	906	201	695	194	224	532	1191	462	448	230
"ADAM10"	1996	2952	676	1996	3500	7690	1325	2882	675	1424	6321	3225	2671	6081	1053	1908	3998	7182
"ADAM11"	3	2267	0	577	6	14	4	4151	6	37	8	8	3	5523	4	241	17	15
"ADAM12"	22	46	6	9	31	101	5	66	3	122	27	119	159	132	0	18	43	47
"ADAM15"	516	800	399	750	573	3254	555	855	454	1406	1346	2109	842	1188	719	1444	770	1954
"ADAM17"	320	680	365	536	593	2863	201	813	286	512	1017	1448	413	1071	622	583	769	2533
"ADAM18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM19"	118.56	382.25	290.12	280.23	72.67	604.19	304.49	852.21	296.59	1230.75	40.08	522	132.52	856.19	647.63	503.74	97.71	535.83
"ADAM1A"	36	176	41	46	107	114	74	219	30	16	93	90	53	531	61	74	148	103
"ADAM2"	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0
"ADAM20"	27	53	11	32	14	57	27	155	44	18	11	18	64	158	20	60	25	13
"ADAM20P1"	17	40	28	23	17	24	29	196	43	6	7	9	61	132	37	24	19	6
"ADAM21"	5	39.99	0	4.82	11	9	0	44.11	1	1	18.15	4	2	23	6	12	6	4
"ADAM21P1"	0	4.01	0	0.18	0	0	0	4.89	0	0	1.85	0	0	0	1	0	0	0
"ADAM22"	10	9713	94	207	591	285	9	13421	152	220	1464	264	17	27821	81	227	677	121
"ADAM23"	1	4085	180	3092	43	62	5	5933	276	470	17	172	7	2101	473	1180	92	18
"ADAM28"	12	96	8	25	232	306	4	134	2	25	57	99	40	97	8	64	341	133
"ADAM29"	0	11	0	0	0	0	0	16	0	1	0	2	0	1	0	0	0	0
"ADAM30"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ADAM32"	0	171	30	112	49	61	1	248	7	41	14	53	10	371	27	50	57	128
"ADAM33"	4	16	75	113	15	124	13	174	118	206	21	580.39	19	71	98	209	20	95
"ADAM3A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM5"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ADAM6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM7"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"ADAM8"	66	20	19	20	52	441	107	40	6	25	79	332	102	32	5	40	101	491
"ADAM9"	829	2190	2338	3572	4568	9146	461	2505	1312	1412	3455	4700	1335	4814	2888	2190	5941	7247
"ADAMDEC1"	0	0	0	1	5	20	2	0	0	0	1	0	2	0	2	1	0	58
"ADAMTS1"	196	756	798	841	1916	7006	174	448	2040	5746	3401	3222	1102	1022	1816	1311	1963	3351
"ADAMTS10"	66	231	32	45	81	268	190	555	29	87	126	475	140	139	34	95	135	256
"ADAMTS12"	57	10	16	127	45	650	75	11	23	95	62	350	462	9	39	117	70	279
"ADAMTS13"	1114	135	35	34	83	61	996	349	88	21	145	95	1077	219	20	74	101	65
"ADAMTS14"	4	149	2	13	2	127	0	81	1	33	1	35	0	23	10	15	12	43
"ADAMTS15"	37	34	56	732	1094	958	29	49	46	320	4235	317	106	31	109	608	1098	511
"ADAMTS16"	0	94	2	6	587	1	79	156	1	1	453	55	1	1697	5	0	799	12
"ADAMTS17"	260	120	24	9	118	110	458	278	52	33	337	100	266	76	55	27	120	82
"ADAMTS18"	0	9	0	4	9	0	0	166	0	2	25	11	6	3298	0	0	13	0
"ADAMTS19"	0	140	36	28	44	6	1	263	10	26	1	6	0	3	28	11	32	0
"ADAMTS2"	331	57	69	123	82	1092	438	143	53	439	102	623	1967	249	48	168	111	435
"ADAMTS20"	0	14	0	0	0	0	0	12	0	0	0	1	0	3	0	0	0	0
"ADAMTS3"	3	390	12	23	33	100	4	739	14	30	194	130	32	9	26	28	102	36
"ADAMTS4"	28	1736	16	41	40	115	17	676	83	1515	168	410	35	641	41	114	22	164
"ADAMTS5"	446	78	399	431	617	511	382	157	560	760	410	577	1101	1796	396	1011	822	182
"ADAMTS6"	12	64	17	51	61	94	33	146	17	95	409	125	26	38	10	85	40	77
"ADAMTS7"	63	14	12	395	40	410	38	28	14	171	36	336	184	27	23	484	61	195
"ADAMTS8"	0	490	3	7	11	2229	0	1085	5	49	128	1810	1	58	8	15	7	2089
"ADAMTS9"	171	142	382	459	1920	745	181	199	973	3579	1177	2013	281	221	704	1017	2057	513
"ADAMTS9-AS2"	8	29	25	42	313	103	19	114	24	89	438	245	22	28	36	105	412	98
"ADAMTSL1"	135.07	146.59	27.43	57.27	239.27	58.77	62	206	23	70	144.61	339	330	704.04	52.62	209	311	101.22
"ADAMTSL2"	870	511	116	103	579	903	1118	834	140	537	2353	781	2914	710	267	206	900	643
"ADAMTSL3"	2065.32	225	341	1257	627.17	2348	1053.01	294.51	290.01	1191	796.01	2475	2115.09	453	367.91	1821	1042.19	1406
"ADAMTSL4"	776	5	735	427	69	3889	1018	6	1518	295	36	1267	830	12	781	370	92	2861
"ADAMTSL5"	33	9	87	83	2	32	32	19	139	131	4	28	64	6	136	135	7	14
"ADAP1"	20	3090.35	7	71.4	734.41	584	21	4281	6	80	802.45	178.57	54.87	1960.34	12	95	664.85	453
"ADAP2"	224	115	24	109	204	667	117	130	31	103	80	325	383	111	51	163	247	559
"ADAR"	9488	12441	1398	4104	10034	14453	8338	17853	1499	3661	10264	10814	7658	14050	2282	5045	10641	13150
"ADARB1"	298	1357	266	336	458	2514	377	3183	339	463	713	2233	371	4465	390	510	407	1692
"ADARB2"	6	1044	0	4	15	36	21	1996	0	4	40	101	14	1358	1	6	23	29
"ADARB2-AS1"	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0
"ADAT1"	397	589	95	234	708	739	401	748	167	168	1006	464	357	617	228	286	713	662
"ADAT2"	92	99	37	44	95	161	217	217	76	47	164	189	135	213	73	64	85	146
"ADAT3"	15	18	2	10	37	50	42	28	4	10	71	47	12	44	4	3	41	67
"ADC"	63	736	34	40	137	72	27	1076	27	78	101	71	14	639	17	74	158	59
"ADCK1"	47	198	55	62	159	123	68	312	97	35	140	93	69	146	97	108	183	145
"ADCK2"	422	1067	227	120	368	747	418	1374	226	117	1135	311	392	927	375	144	452	830
"ADCK3"	2528.94	1051.12	20893	4969	1569.31	1387.76	2423.67	1282.17	26503	915.05	1500.02	631.94	2483.84	3164.05	28668	4227	2033.02	1068.7
"ADCK4"	348	317	110	284	555	754	437	410	120	152	472	401	305	686	114	306	597	564
"ADCK5"	158	136	60	55	127	133	182	179	58	20	100	122	123	208	59	44	108	132
"ADCY1"	1670	20005	544	697	297	120	7569	35198	989	341	795	342	3898	22112	1390	340	380	118
"ADCY10"	339	16	9	4	13	2	238	14	4	1	7	0	123	11	0	6	54	4
"ADCY10P1"	40	49	22	53	49	60.02	40	65.01	61	53	82.45	150	84	200	28	124.1	80	64.01
"ADCY2"	2	5045	4051	5	36	49	1	7744	3017	10	7	22	1	2277	4729	6	77	18
"ADCY3"	121	1885	203	351	281	1159	82	3269	205	939	878	1378	230	2048	275	567	335	1229
"ADCY4"	76	17	95	169	192	739	36	95	106	459	318	1408	67	81	91	419	205	713
"ADCY5"	96	2216	33	5428	523	183	152	4124	71	1825	4799	154	193	838	65	4688	492	93
"ADCY6"	380	923	397	2187	1882	1728	1054	2139	318	2475	2895	1428	893	1478	503	3578	2323	1533
"ADCY7"	135	499	168	279	157	3780	150	992	145	304	82	2603	430	201	199	421	198	4025
"ADCY8"	2	743	2	1	97	22	0	960	0	0	0	8	0	942	3	0	62	4
"ADCY9"	1598	1476	2118	2028	1766	2514	2082	2666	4599	993	1376	2702	1866	1563	3959	1504	2074	3163
"ADCYAP1"	2	476	3	14	63	4	0	977	0	6	2	20	0	271	3	12	20	61
"ADCYAP1R1"	84	6144	237	647	3	85	54	8063	99	373	4	265	30	7952	52	388	10	108
"ADD1"	4151	14026	6374	5954	6770	9655	3160	17065	5574	3483	6887	7592	4237	16739	8787	5646	7861	9108
"ADD2"	3	4560	14	56	1	25	2	10199	23	77	4	45	10	5411	23	153	13	37
"ADD3"	1862	10206	870	5949	10695	4507	646	7137	709	2843	6112	4216	1800	13063	1089	4844	10372	4721
"ADGB"	0	1	0	0	0	348	2	1	1	0	44	5	0	3	0	0	3	113
"ADH1A"	55559.6	0	9	5	14	1	18580.27	4	0.3	3	6	1	34856.75	0	4	0	9	0
"ADH1B"	412436.5	38	3378.79	4450.99	3158.25	30711.98	151090.8	77.95	2884.7	1934.01	6076.95	42779	234051.3	31	4745.85	3676.94	2205	26087.97
"ADH1C"	45165.2	1	141.21	94.01	1019.75	214.01	18451.89	2.05	128	74.99	88.05	66.03	19640.8	3	139.15	33.06	621	83.03
"ADH4"	156278	2	5	12	49	9	57162	15	1	1	35	7	55567	2	6	4	11	5
"ADH5"	10221	3316	2384	5177	8024	4828	5350	2975	1949	1130	6742	3072	6789	3083	2801	2035	7374	5100
"ADH6"	34630	0	1	1	2027	59	12481	2	1	0	55	0	13845	0	0	3	1844	2
"ADH7"	6	0	0	0	0	1731	1	0	0	0	0	15	4	0	0	0	0	77
"ADHFE1"	1316	227	1190	942	573	189	1025	262	1126	146	417	146	1358	396	1482	523	616	157
"ADI1"	34344	1153	2783	3871	8977	2217	8865	992	2256	638	4021	1132	18533	1387	3909	1445	8164	3038
"ADIG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADIPOQ"	0	0	556	1292	0	1	0	0	68	33	0	0	0	1	59	0	0	2
"ADIPOQ-AS1"	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
"ADIPOR1"	2908	1845	2354	1427	2700	3836	2046	2172	1264	804	2695	1940	2594	2399	2617	1296	2626	4190
"ADIPOR2"	5563	3407	1979	1866	1732	3262	7922	2360	1764	788	2612	2922	3676	3179	2320	1400	1863	3145
"ADIRF"	791	320	504	825	3780	3022	95	283	206	542	712	2489	328	172	465	765	3065	4280
"ADK"	3421	770	355	698	883	972	1861	737	466	123	1134	556	2235	732	714	297	775	1055
"ADM"	190	65	74	209	1634	367	165	38	141	127	103	489	484	83	308	155	807	958
"ADM2"	11	0	1	1	460	29	69	1	0	0	21	15	28	2	6	1	565	8
"ADM5"	0	6	26	3	12	38	6	28	1	5	12	54	3	7	6	3	16	17
"ADNP"	1829	3110	1380	1983	2964	3562	1905	4782	2164	1187	4299	2934	2116	4812	2323	1637	2955	2992
"ADNP2"	476	1294	225	489	1074	1064	804	1667	169	462	1695	846	602	1595	261	567	1380	1145
"ADO"	285	2398	560	662	802	1301	239	2041	395	329	957	463	360	2887	760	511	1019	1058
"ADORA1"	9	1482	19	150	153	121	6	2078	21	45	26	61	12	885	8	112	327	116
"ADORA2A"	3.07	0	7	0	10.95	375.41	14.76	17.35	0	66.28	53.36	46.16	135.32	9.65	0	127.8	34.1	206.26
"ADORA2A-AS1"	368	0	1	0	239	6	851	2	1	0	10	1	253	0	5	1	218	0
"ADORA2B"	5	144	2	24	8	167	2	135	4	59	16	38	8	186	3	63	3	84
"ADORA3"	36	201	13	30	15	235	6	97	2	23	14	42	82	156	18	36	27	191
"ADPGK"	578	694	191	204	786	2760	539	728	131	252	1015	1134	604	1000	267	284	1003	2529
"ADPGK-AS1"	2	3	0	0	1	23	2	5	0	0	2	12	1	0	0	2	1	36
"ADPRH"	48	80	257	192	180	1463	40	57	382	219	434	602	128	90	464	276	236	1128
"ADPRHL1"	81	188	2428	6016	52	44	40	239	1598	765	81	20	20	67	3837	3135	27	23
"ADPRHL2"	360	473	457	204	504	884	169	559	308	116	429	311	249	647	492	176	583	819
"ADPRM"	194	188	248	88	177	250	145	192	154	60	181	215	138	306	198	97	171	262
"ADRA1A"	2111	224	16	699	52	212	3453	477	11	168	5	158	1653	399	7	484	55	171
"ADRA1B"	186	287	10	15	75	76	213	547	13	26	10	40	524	88	7	15	78	40
"ADRA1D"	0	60	4	0	0	39	0	163	3	1	1	27	0	1	1	0	3	12
"ADRA2A"	10	226	14	19	83	290	8	293	9	62	165	193	60	331	29	37	98	139
"ADRA2B"	270	9	77	115	108	10	128	19	47	96	152	22	456	3	71	85	72	13
"ADRA2C"	6	106	4	22	113	46	3	241	13	57	422	43	5	122	36	75	142	26
"ADRB1"	3	331	6	446	39	520	12	549	10	243	128	591	11	69	10	283	35	645
"ADRB2"	247	86	316	201	34	731	220	99	300	90	179	757	189	79	452	205	60	712
"ADRB3"	0	0	1	0	0	5	0	20	0	0	2	0	0	0	0	0	0	3
"ADRBK1"	707	4059	1142	657	673	2770	1145	6360	1010	642	1419	1835	950	5423	1354	797	997	2325
"ADRBK2"	177	5004	137	407	486	3051	184	7231	54	153	255	1045	199	3782	136	525	497	2269
"ADRM1"	1726	1221	1791	636	1044	1652	1355	1335	1573	402	1121	890	1029	2096	2474	455	1070	1497
"ADSL"	884	593	7480	880	974	992	549	745	3617	312	821	484	719	823	7123	429	1112	759
"ADSS"	591	2104	237	203	1772	1798	367	2118	197	227	1657	688	1061	1594	282	294	1633	1403
"ADSSL1"	331	139	8240	1802	242	144	682	71	9616	544	205	43	472	103	13535	1307	213	88
"ADTRP"	0	57	5	1	30	568	12	129	3	3	70	186	9	10	0	0	94	862
"ADV21S1A1N"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AEBP1"	427	310	303	853	1187	6782	510	610	333	4589	3631	6577	5524	186	296	1539	2835	3021
"AEBP2"	576	1370	378	889	1622	1316	534	1860	510	670	1497	1240	655	2443	706	771	1529	1489
"AEN"	335	144	154	106	220	482	201	223	110	132	289	147	290	297	194	163	428	341
"AES"	2693	9477	11026	5641	3805	7109	2797	13731	8996	3214	6589	4929	2711	19470	15119	4893	5072	6979
"AF007147"	4	58	5	30	7	108	1	206	5	23	3	68	17	54	6	37	0	111
"AF020763"	2	5	3	11	27.04	36	5	13.02	3	10	37	34	7	25	3	18.03	38.02	37
"AF035281"	22	133.69	14.87	20.84	49.08	83.55	68.4	394.02	27.45	35.83	106.62	74.34	28.8	341.72	15.38	38.4	75.69	74.82
"AF047486"	10.89	0	0	1	0.36	0	21.51	0	0	0	0	2.51	17.28	0	0	1	0	1.71
"AF055024"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF063596"	9.79	8.74	0	18.06	12.76	36.53	43.94	56.85	2.93	9.04	23.68	51.52	45.75	65.37	1.56	24.5	25.67	15.61
"AF070569"	13.25	20.97	14.7	69.45	52.43	0	87.71	0	38.63	121.41	0	18.31	84.64	18.43	93.53	80.79	110.78	24.15
"AF070581"	10	1059	52	113	150	140	6	1909	35	102	93	221	36	174	59	125	157	150
"AF072097"	0	0	0	0	0	4	2.99	1	0	8	1	1	1	0	0	0	0	1
"AF075036"	0	2	0	4.9	0	0	0	2.15	0	0	2.53	0	0	4.79	1	0	0	0.8
"AF075112"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"AF085962"	9	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0
"AF085995"	0	3	0	1	12	1	5	4	0	0	2	2	0	11	1	2	5	2
"AF086102"	0	7	0	1	0	0	0	21	0	0	1	0	0	9	1	0	1	0
"AF086125"	0	0	0	0	1	0	0	6	1	0	0	1	0	9	0	1	1	0
"AF086126"	19.04	31.45	9.9	40	35.71	52.37	53.07	67.16	17.31	27.9	38.88	45.65	42.69	103.72	14.25	39.92	34.19	35.63
"AF086132"	71	43	74	80	90	87	61	68	60	33	71	50	33	115	95	44	71	100
"AF086154"	0	0	0	158	3	0	0	0	0	24	1	2	0	0	2	82	7	0
"AF086165"	25.38	3.42	19.27	57.26	164.55	122.42	4.88	0	0	0	0	12.72	36.27	4.25	43.78	69.08	81.98	100.02
"AF086184"	2	1	1	0	4	0	0	0	0	0	3	0	0	1	0	0	4	4
"AF086203"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"AF086219"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF086258"	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
"AF086285"	11	72	29	26	39	28	6	78	24	7	57	21	23	35	50	25	55	27
"AF086288"	1	4	9	0	5	0	0	12	5	1	2	0	3	0	10	1	1	0
"AF086294"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF086303"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
"AF086346"	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF086351"	0	0	1	1	1	4	0	4	0	2	5	2	2	8	1	1	3	3
"AF086476"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"AF088041"	925	886	1645	3312	1270	1460	827	1071	1670	696	1135	659	640	1124	2915	1505	1091	1573
"AF090102"	0	0	6	0	0	2	0	6	1	0	0	0	1	7	0	0	1	0
"AF090939"	2	2	2	7	4	10	17	31	2	17	20	21	21	45	2	10	10	12
"AF116693"	24.06	42.31	20	43	27.1	48.21	50.46	63.46	44.23	27.39	12	45.21	34	34	13.04	44.99	33.14	48.4
"AF119915"	3	8	3	18	22	48	43	28	19	34	37	30	55	34	12	36	22	34
"AF131837"	0	350	4	8	5	171	0	474	0	3	3	38	0	10	1	4	4	273
"AF143870"	214	0	0	0	67	0	123	0	0	0	0	0	62	0	0	0	44	0
"AF143871"	6	6	1	0	0	1	1	1	4	0	2	2	1	15	6	0	0	9
"AF157115"	2	2	0	13	3	30	36	18	5	13	28	31	28	30	4	19	23	34
"AF161365"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"AF161442"	1	0	0	4	10	54	2	2	1	5	3	90	4	0	0	8	2	122
"AF188711"	0	0	0	0	0	0	0	0	0	0	0	8.6	0	0	0	4.16	0	0
"AF198444"	4	10.83	12.69	2	0	28.88	5.91	34.26	5	13.02	28.06	15	13.01	34.23	13	10	5	7
"AF216583"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
"AF258550"	0	6	6	1	5	1	2	26	8	3	3	4	11	20	1	4	6	0
"AF258560"	2.94	11.88	1.82	19.41	6.51	8.71	16.27	54.06	11.47	11.17	18.19	31.28	11.27	32.8	9.92	34.08	9.53	20.4
"AF268386"	377	488	671	1987	333	2057	145	502	518	1268	870	2643	688	1783	770	2036	509	1725
"AF279775"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"AF279780"	0	2	0	1	2	0	0	3	0	0	1	0	0	8	0	0	3	0
"AF279782"	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0
"AF289551"	87	10	0	3	312	264	334	41	0	11	423	490	141	89	5	11	487	259
"AF339801"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF339817"	267	1323	44	41	2486	249	429	1971	47	58	4523	144	310	516	115	79	2678	177
"AF380582"	0	0	3.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF387615"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF397448"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF401214"	36.49	15.84	33.3	29.21	25.63	39.77	149.35	62.38	38.3	12.34	31.07	26.04	71.62	8.62	64.62	19.71	12.08	34.83
"AF420437"	75.19	18.55	8.29	18.8	37.15	134.42	135.52	101.15	17.52	15.48	58.31	224.93	140.02	72.9	12.31	29.76	43.89	108.19
"AF508906"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF508907"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AF520419"	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
"AF520792"	23	274	25	70	26	28	4	323	78	32	25	37	33	287	44	41	28	38
"AF520793"	1	43	2	15	4	5	0	41	8	7	6	5	2	57	19	8	5	14
"AF532840"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AF548120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AFAP1"	180	1786	152	554	725	1394	85	3024	284	967	1730	1640	400	2815	715	924	971	1283
"AFAP1-AS1"	0	30	0	0	2	4	0	51	0	0	0	4	0	13	0	1	0	13
"AFAP1L1"	280	157	1057	1940	377	1770	75	114	1542	1680	527	2858	499	193	2182	1686	346	1669
"AFAP1L2"	90	925	86	230	1177	553	100	1316	87	288	2422	690	141	2660	119	393	1718	281
"AFF1"	4894	1567	5816	4063	7714	6181	3799	1863	8152	3103	9463	5520	4147	1741	12176	3604	10019	5486
"AFF2"	6	1728	1	20	85	651	6	2419	3	13	144	812	6	5228	7	31	124	580
"AFF3"	220	1839	150	472	118	1326	211	3892	74	217	254	1514	454	4154	216	414	195	1994
"AFF4"	2986	6894	3357	4772	7322	7140	1886	8571	3145	3285	8080	5939	4097	14175	5305	4329	8789	7356
"AFG3L1P"	76	176	184	92	212	330	274	408	171	105	293	719	148	602	259	132	258	277
"AFG3L2"	2640	3252	4878	6521	4976	1822	2510	3976	4794	1141	5738	1100	2762	3995	7443	2769	4848	2052
"AFM"	18982	0	9	4	1518	1	8834	1	0	0	42	0	14503	1	0	0	1868	0
"AFMID"	2176	316	44	214	2571	265	1801	374	40	75	772	330	1739	788	54	108	2402	300
"AFP"	125	3	7	0	72	0	117	8	0	0	5	3	17	0	0	0	29	0
"AFTPH"	1715	3296	942	728	6393	2725	1175	3763	749	575	4474	1630	1646	6292	1231	801	6693	2576
"AGA"	329	312	180	143	491	542	164	371	129	79	1003	311	444	218	358	97	573	486
"AGAP1"	306	7764	503	890	1924	1398	539	12385	726	536	2566	1339	440	6526	1072	981	2275	1143
"AGAP11"	27.33	41.31	56.24	134.01	100.14	171.41	19.28	85.06	81.81	146.53	179.07	463.8	49.73	47.52	75.98	159.82	130.65	181.78
"AGAP2"	29	7685	95	251	14	327	29	18428	83	277	28	218	22	6407	165	438	31	243
"AGAP2-AS1"	17	12	1	17	22	108	7	8	1	34	50	83	34	31	11	17	18	88
"AGAP3"	571	2072.24	302.14	307	642	1826.28	994.61	4257.96	315	283.92	321	1605.43	618.69	2088.62	344	329	715.06	1910.92
"AGAP4"	36.84	80.82	60.38	32.18	113.72	95.34	167.95	360.13	81.86	60.15	139.45	274.83	75.78	251.62	38.58	48.49	148.13	102.02
"AGAP5"	163.99	76.72	170	85.76	188.71	237.07	269.15	169.13	131.56	44.69	246.99	334.36	137.71	286.04	142.9	95.08	220.41	225.93
"AGAP6"	88.31	124.68	84.87	79.57	134.78	233.9	381.26	401.03	104.98	93.37	169.17	425.85	135.51	435.61	93.66	108.29	179.87	204.85
"AGAP7"	9.82	4.85	0	11.14	12.38	36.71	14.12	4.93	2.94	2.81	4.79	17.96	10.56	41.51	9.81	9.66	33.07	9.47
